name,category,address,phone,website,rating,reviews_count,opening_hours,url
14 Stories,مطعم مأكولات أوروبية حديثة,"العنوان: 14th floor, 120 Fenchurch St, London EC3M 5AL، المملكة المتحدة",الهاتف: +44 20 3981 5222,http://14stories.co.uk/,4.5,N/A,N/A,https://www.google.com/maps/place/14+Stories/data=!4m7!3m6!1s0x4876050f6e3ee4c7:0xc805c661e3e7ddfe!8m2!3d51.5121519!4d-0.0810454!16s%2Fg%2F11j1yzrdb_!19sChIJx-Q-bg8FdkgR_t3n42HGBcg
The Libertine Restaurant & Bar,مطعم مأكولات أوروبية حديثة,"العنوان: 1 Royal Exchange, London EC3V 3LL، المملكة المتحدة",الهاتف: +44 20 3772 6610,https://www.libertinelondon.co.uk/,4.7,N/A,N/A,https://www.google.com/maps/place/The+Libertine+Restaurant+%26+Bar/data=!4m7!3m6!1s0x48760342b1002fa9:0x350e14b0a4468d23!8m2!3d51.513416!4d-0.0874928!16s%2Fg%2F11tfdyt_mg!19sChIJqS8AsUIDdkgRI41GpLAUDjU
Bill's Soho Restaurant,مطعم مأكولات إنجليزية,"العنوان: 36-44 Brewer St, London W1F 9TB، المملكة المتحدة",الهاتف: +44 20 8054 5400,https://bills-website.co.uk/restaurants/soho/?utm_source=LocalGoogle&utm_medium=Organic,4.6,N/A,N/A,https://www.google.com/maps/place/Bill%27s+Soho+Restaurant/data=!4m7!3m6!1s0x487604d470b388d7:0xd9b0dbe68445a4fc!8m2!3d51.5118615!4d-0.1351843!16s%2Fg%2F11gztqk6b!19sChIJ14izcNQEdkgR_KRFhObbsNk
MBER - London Bridge,مطعم مأكولات من كل أنحاء قارة آسيا,"العنوان: 1A Pudding Ln, London EC3R 8AB، المملكة المتحدة",الهاتف: +44 20 7608 6545,https://www.mber.london/,4.4,N/A,N/A,https://www.google.com/maps/place/MBER+-+London+Bridge/data=!4m7!3m6!1s0x48760353cc504ccd:0x233f9edffb6c41ec!8m2!3d51.510537!4d-0.085431!16s%2Fg%2F1pxq8v8j4!19sChIJzUxQzFMDdkgR7EFs-9-ePyM
Thai Square Mansion House,مطعم مأكولات تايلاندية,"العنوان: 1 Great St Thomas Apostle, London EC4V 2BH، المملكة المتحدة",الهاتف: +44 20 7329 0001,https://thaisq.com/restaurants/mansion-house/,4.3,N/A,N/A,https://www.google.com/maps/place/Thai+Square+Mansion+House/data=!4m7!3m6!1s0x487603559a7bbfcd:0x8bdb4cd756f6db12!8m2!3d51.5118942!4d-0.0937462!16s%2Fg%2F1tkmlv7g!19sChIJzb97mlUDdkgREtv2VtdM24s
Millie's Lounge,مطعم مأكولات إنجليزية,"العنوان: 27 Poultry, London EC2R 8AJ، المملكة المتحدة",الهاتف: +44 20 3828 2000,https://www.thened.com/london/restaurants/millies-lounge?utm_source=google&utm_medium=local&utm_campaign=millies-lounge,4.4,N/A,N/A,https://www.google.com/maps/place/Millie%27s+Lounge/data=!4m7!3m6!1s0x48760354e7fe5a29:0xd2997ba904e0a8b9!8m2!3d51.5136153!4d-0.090129!16s%2Fg%2F11g6_2xjxw!19sChIJKVr-51QDdkgRuajgBKl7mdI
The Don Restaurant,مطعم مأكولات أوروبية حديثة,"العنوان: 20 St Swithin's Ln, London EC4N 8AD، المملكة المتحدة",الهاتف: +44 20 7621 1148,https://thedonlondon.com/,4.2,N/A,N/A,https://www.google.com/maps/place/The+Don+Restaurant/data=!4m7!3m6!1s0x487603546485aee7:0x256f4b4005ee3ab8!8m2!3d51.5119578!4d-0.0890099!16s%2Fg%2F1tfv4lx4!19sChIJ566FZFQDdkgRuDruBUBLbyU
La Tagliata Italian Kitchen,مطعم مأكولات إيطالية,"العنوان: street, 11 Sandy's Row Spitalfields Liverpool, Middlesex St, London E1 7HW، المملكة المتحدة",الهاتف: +44 20 7377 1551,https://www.la-tagliata.com/,4.4,N/A,N/A,https://www.google.com/maps/place/La+Tagliata+Italian+Kitchen/data=!4m7!3m6!1s0x48761cb3bcc23143:0x9468c1f0eba6efa!8m2!3d51.5179379!4d-0.0775547!16s%2Fg%2F11f3x95xk8!19sChIJQzHCvLMcdkgR-m66Dh-MRgk
The Fortnum’s Bar & Restaurant at Royal Exchange,بارات,"العنوان: The Courtyard At Royal Exchange, London EC3V 3LR، المملكة المتحدة",الهاتف: +44 20 7734 8040,https://www.fortnumandmason.com/the-bar-and-restaurant-at-the-royal-exchange-london,4.3,N/A,N/A,https://www.google.com/maps/place/The+Fortnum%E2%80%99s+Bar+%26+Restaurant+at+Royal+Exchange/data=!4m7!3m6!1s0x487603536714db2b:0xfc0c12f2cced882f!8m2!3d51.513477!4d-0.087314!16s%2Fg%2F11fd4nks9w!19sChIJK9sUZ1MDdkgRL4jtzPISDPw
Shake Shack Mansion House,مطعم همبرغر,"العنوان: 45 Cannon St, London EC4M 9AL، المملكة المتحدة",الهاتف: +44 1923 886210,https://www.shakeshack.co.uk/locations/mansion-house/?utm_source=gmb&utm_medium=organic&utm_campaign=mansion-house,4.1,N/A,N/A,https://www.google.com/maps/place/Shake+Shack+Mansion+House/data=!4m7!3m6!1s0x48760525a1a02821:0x98a7e49865ed27ee!8m2!3d51.5126116!4d-0.0938557!16s%2Fg%2F11f6mcrr_j!19sChIJISigoSUFdkgR7iftZZjkp5g
